listid,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,start_date,end_date,Incubation_Period(days),Number of Direct Forks,Merged_Forks,merge-to-fork ratio,Merge_Frequency,Fork_Frequency
153,lucenenet,1,https://github.com/apache/Lucene.NET,https://github.com/apache/Lucene.NET,TRUE,2/5/2011,8/15/2012,557.0,8,0,0.0,0.0,0.01436265709156190
154,lucy,1,https://github.com/apache/Lucy,https://github.com/apache/Lucy,TRUE,7/22/2010,2/22/2012,580.0,0,0,0.0,0.0,0.0
155,madlib,1,https://github.com/apache/MADlib,https://github.com/apache/MADlib,TRUE,9/15/2015,7/19/2017,673.0,55,5,0.0909090909090909,0.007429420505200590,0.08172362555720650
156,manifoldcf,1,https://github.com/apache/ManifoldCF,https://github.com/apache/ManifoldCF,TRUE,1/10/2010,5/16/2012,857.0,0,0,0.0,0.0,0.0
157,marmotta,1,https://github.com/apache/Marmotta,https://github.com/apache/Marmotta,TRUE,12/3/2012,11/20/2013,352.0,0,0,0.0,0.0,0.0
159,mesos,1,https://github.com/apache/Mesos,https://github.com/apache/Mesos,TRUE,12/23/2010,6/19/2013,909.0,0,0,0.0,0.0,0.0
160,metamodel,1,https://github.com/apache/MetaModel,https://github.com/apache/MetaModel,TRUE,6/12/2013,11/20/2014,526.0,4,1,0.25,0.0019011406844106500,0.0076045627376425900
161,metron,1,https://github.com/apache/Metron,https://github.com/apache/Metron,TRUE,12/6/2015,4/19/2017,500.0,156,4,0.0256410256410256,0.008,0.312
162,mnemonic,1,https://github.com/apache/Mnemonic,https://github.com/apache/Mnemonic,TRUE,3/3/2016,11/15/2017,622.0,32,9,0.28125,0.014469453376205800,0.05144694533762060
163,mod_ftp,1,https://github.com/apache/mod_ftp,https://github.com/OutOfOrder/mod_ftpd,TRUE,8/6/2005,2/21/2007,564.0,0,0,0.0,0.0,0.0
164,mrunit,1,https://github.com/apache/MRUnit,https://github.com/apache/MRUnit,TRUE,3/8/2011,5/16/2012,435.0,0,0,0.0,0.0,0.0
166,myfaces,1,https://github.com/apache/MyFaces,https://github.com/apache/MyFaces,TRUE,7/16/2004,3/9/2005,236.0,0,0,0.0,0.0,0.0
167,mynewt,1,https://github.com/apache/Mynewt,https://github.com/apache/mynewt-core,TRUE,10/20/2015,6/21/2017,610.0,78,0,0.0,0.0,0.12786885245901600
168,netbeans,1,https://github.com/apache/NetBeans,https://github.com/apache/NetBeans,TRUE,10/1/2016,4/17/2019,928.0,216,46,0.2129629629629630,0.04956896551724140,0.23275862068965500
169,nifi,1,https://github.com/apache/NiFi,https://github.com/apache/NiFi,TRUE,11/24/2014,7/15/2015,233.0,35,11,0.3142857142857140,0.04721030042918460,0.15021459227467800
170,nutch,1,https://github.com/apache/Nutch,https://github.com/apache/Nutch,TRUE,1/15/2005,6/1/2005,137.0,0,0,0.0,0.0,0.0
